COUNTRY_YEAR_ID,YEAR,COUNTRY_CODE
292,2016,LIBE
293,2016,PALE
294,2016,UGAN
295,2016,CHAD
296,2016,TUNI
297,2016,MAUR
298,2016,SRIL
299,2016,SWAZ
300,2016,MYAN
301,2016,COMO
302,2016,TOGO
303,2016,ETHI
304,2016,MADA
305,2016,EGYP
306,2016,SIER
307,2016,BURU
308,2016,ZAMB
309,2016,HAIT
310,2016,LESO
311,2016,IND
312,2016,MALA
313,2016,YEME
314,2016,BOTS
315,2016,TANZ
316,2016,CENT
317,2016,RWAN
318,2016,ZIMB
319,2016,SSUD
320,2016,AFGH
321,2016,PUER
322,2016,QATA
323,2016,SURI
324,2016,BELI
325,2016,SOMA
326,2016,BHUT
327,2016,SOML
328,2016,SUDA
329,2016,ANGO
330,2016,SYRI
331,2016,NOTM
332,2016,OMAN
333,2016,DJIB
334,2016,CZEC
335,2016,ESWA
336,2016,XX
337,2017,FINL
338,2017,DENM
339,2017,SWIT
340,2017,ICEL
341,2017,NORW
342,2017,NETH
343,2017,SWED
344,2017,NEWZ
345,2017,AUST
346,2017,LUXE
347,2017,CANA
348,2017,AUS
349,2017,UK
350,2017,ISRA
351,2017,COST
352,2017,IREL
353,2017,GERM
354,2017,USA
355,2017,CZER
356,2017,BELG
357,2017,UAE
358,2017,MALT
359,2017,FRAN
360,2017,MEXI
361,2017,TAIW
362,2017,URUG
363,2017,SAUD
364,2017,SPAI
365,2017,GUAT
366,2017,ITAL
367,2017,SING
368,2017,BRAZ
369,2017,SLON
370,2017,ELS
371,2017,KOSO
372,2017,PANA
373,2017,SLOV
374,2017,UZBE
375,2017,CHIL
376,2017,BAHR
377,2017,LITH
378,2017,TRIN
379,2017,POLA
380,2017,COLO
381,2017,CYPR
382,2017,NICA
383,2017,ROMA
384,2017,KUWA
385,2017,MARI
386,2017,KAZA
387,2017,ESTO
388,2017,PHIL
389,2017,HUNG
390,2017,THAI
391,2017,ARGE
392,2017,HOND
393,2017,LATV
394,2017,ECUA
395,2017,PORT
396,2017,JAMA
397,2017,SKOR
398,2017,JAPA
399,2017,PERU
400,2017,SERB
401,2017,BOLI
402,2017,PAKI
403,2017,PARA
404,2017,DOMI
405,2017,BOSN
406,2017,MOLD
407,2017,TAJI
408,2017,MONT
409,2017,RUSS
410,2017,KYRG
411,2017,BELA
412,2017,NOTC
413,2017,GREE
414,2017,HONG
415,2017,CROA
416,2017,LIBY
417,2017,MONG
418,2017,MALY
419,2017,VIET
420,2017,INDO
421,2017,IVOR
422,2017,BENI
423,2017,MALD
424,2017,CONG
425,2017,AZER
426,2017,MACE
427,2017,GHAN
428,2017,NEPA
429,2017,TURK
430,2017,CHIN
431,2017,TURM
432,2017,BULG
433,2017,MORO
434,2017,CAME
435,2017,VENE
436,2017,ALGE
437,2017,SENE
438,2017,GUIN
439,2017,NIGE
440,2017,LAOS
441,2017,ALBA
442,2017,CAMB
443,2017,BANG
444,2017,GABO
445,2017,SOAF
446,2017,IRAQ
447,2017,LEBA
448,2017,BURK
449,2017,GAMB
450,2017,MALI
451,2017,NIGA
452,2017,ARME
453,2017,GEOR
454,2017,IRAN
455,2017,JORD
456,2017,MOZA
457,2017,KENY
458,2017,NAMI
459,2017,UKRA
460,2017,LIBE
461,2017,PALE
462,2017,UGAN
463,2017,CHAD
464,2017,TUNI
465,2017,MAUR
466,2017,SRIL
467,2017,SWAZ
468,2017,MYAN
469,2017,COMO
470,2017,TOGO
471,2017,ETHI
472,2017,MADA
473,2017,EGYP
474,2017,SIER
475,2017,BURU
476,2017,ZAMB
477,2017,HAIT
478,2017,LESO
479,2017,IND
480,2017,MALA
481,2017,YEME
482,2017,BOTS
483,2017,TANZ
484,2017,CENT
485,2017,RWAN
486,2017,ZIMB
487,2017,SSUD
488,2017,AFGH
489,2017,PUER
490,2017,QATA
491,2017,SURI
492,2017,BELI
493,2017,SOMA
494,2017,BHUT
495,2017,SOML
496,2017,SUDA
497,2017,ANGO
498,2017,SYRI
499,2017,NOTM
500,2017,OMAN
501,2017,DJIB
502,2017,CZEC
503,2017,ESWA
504,2017,XX
505,2018,FINL
506,2018,DENM
507,2018,SWIT
508,2018,ICEL
509,2018,NORW
510,2018,NETH
511,2018,SWED
512,2018,NEWZ
513,2018,AUST
514,2018,LUXE
515,2018,CANA
516,2018,AUS
517,2018,UK
518,2018,ISRA
519,2018,COST
520,2018,IREL
521,2018,GERM
522,2018,USA
523,2018,CZER
524,2018,BELG
525,2018,UAE
526,2018,MALT
527,2018,FRAN
528,2018,MEXI
529,2018,TAIW
530,2018,URUG
531,2018,SAUD
532,2018,SPAI
533,2018,GUAT
534,2018,ITAL
535,2018,SING
536,2018,BRAZ
537,2018,SLON
538,2018,ELS
539,2018,KOSO
540,2018,PANA
541,2018,SLOV
542,2018,UZBE
543,2018,CHIL
544,2018,BAHR
545,2018,LITH
546,2018,TRIN
547,2018,POLA
548,2018,COLO
549,2018,CYPR
550,2018,NICA
551,2018,ROMA
552,2018,KUWA
553,2018,MARI
554,2018,KAZA
555,2018,ESTO
556,2018,PHIL
557,2018,HUNG
558,2018,THAI
559,2018,ARGE
560,2018,HOND
561,2018,LATV
562,2018,ECUA
563,2018,PORT
564,2018,JAMA
565,2018,SKOR
566,2018,JAPA
567,2018,PERU
568,2018,SERB
569,2018,BOLI
570,2018,PAKI
571,2018,PARA
572,2018,DOMI
573,2018,BOSN
574,2018,MOLD
575,2018,TAJI
576,2018,MONT
577,2018,RUSS
578,2018,KYRG
579,2018,BELA
580,2018,NOTC
581,2018,GREE
582,2018,HONG
583,2018,CROA
584,2018,LIBY
585,2018,MONG
586,2018,MALY
587,2018,VIET
588,2018,INDO
589,2018,IVOR
590,2018,BENI
591,2018,MALD
592,2018,CONG
593,2018,AZER
594,2018,MACE
595,2018,GHAN
596,2018,NEPA
597,2018,TURK
598,2018,CHIN
599,2018,TURM
600,2018,BULG
601,2018,MORO
602,2018,CAME
603,2018,VENE
604,2018,ALGE
605,2018,SENE
606,2018,GUIN
607,2018,NIGE
608,2018,LAOS
609,2018,ALBA
610,2018,CAMB
611,2018,BANG
612,2018,GABO
613,2018,SOAF
614,2018,IRAQ
615,2018,LEBA
616,2018,BURK
617,2018,GAMB
